"Marca temporal","Código de participante","Afirmaciones [1. Creo que me gustaría jugar a este juego con frecuencia.]","Afirmaciones [2. Encontré el juego innecesariamente complejo.]","Afirmaciones [3. Pensé que el juego era fácil de usar/jugar.]","Afirmaciones [4. Creo que necesitaría el apoyo de una persona técnica para poder jugar.]","Afirmaciones [5. Encontré que las diversas funciones (menús, mecánicas) del juego estaban bien integradas.]","Afirmaciones [6. Pensé que había demasiada inconsistencia en este juego.]","Afirmaciones [7. Imagino que la mayoría de la gente aprendería a jugar a este juego muy rápidamente.]","Afirmaciones [8. Encontré que el juego es muy incómodo o pesado de usar.]","Afirmaciones [9. Me sentí muy seguro/confiado jugando al juego.]","Afirmaciones [10. Necesité aprender muchas cosas antes de poder empezar a jugar bien.]","Afirmaciones [Me sentí satisfecho/a]","Afirmaciones [Me sentí feliz]","Afirmaciones [Pensé que fue divertido]","Afirmaciones [Lo disfruté]","Afirmaciones [Me sentí aburrido/a]","Afirmaciones [Me pareció cansador/a]","Afirmaciones [Me puso de mal humor]","Afirmaciones [Pensé en otras cosas]","Afirmaciones [Me sentí desafiado/a]","Afirmaciones [Pensé que fue difícil]","Afirmaciones [Tuve que esforzarme mucho]","Afirmaciones [Sentí presión de tiempo]","Afirmaciones [Me sentí frustrado/a]","Afirmaciones [Me sentí molesto/a]","Afirmaciones [Me sentí irritable]","Afirmaciones [Me sentí presionado/a]","Afirmaciones [Me olvidé de todo lo que me rodeaba]","Afirmaciones [Me pareció impresionante]","Afirmaciones [Se sintió como una experiencia rica]","Afirmaciones [Perdí la conexión con el mundo exterior]","¿Qué tan predecible te pareció el jefe? ¿Por qué?","¿Qué aspectos te parecieron más interesantes o frustrantes del combate? ¿Por qué?","¿Sentiste que el jefe aprendía o cambiaba según tus acciones? ¿Por qué?","¿Qué tan justo o injusto te pareció su comportamiento? ¿Por qué?"
"2026/06/17 7:51:00 p. m. GMT-4","TEST","5","1","2","1","5","1","5","1","5","1","5","5","5","5","1","1","1","1","2","1","1","1","1","1","1","1","3","4","4","4","Me pareció predecible, debido a que siempre tenia una animación que anunciaba el ataque que se venia, dando tiempo a reaccionar, los tiempos no fueron variables en cada ejecución del ataque","Me pareció interesante las distintas maneras que ofrece el juego para enfrentar el combate porque se siente dinámico y no forzado a una sola manera de terminar el juego, ya sea con ataques a distancia y/o cuerpo a cuerpo","No, me pareció que el jefe fue bastante fácil pero no puedo negar que igual recibí unos pocos ataques, quizás si el daño de cada ataque del jefe era mayor, hubiera estado en problemas","Me pareció justo debido a que tenia una buena cantidad de ataques pero de todos se podía aprender rápido a como esquivarlos"
"2026/06/18 11:33:04 a. m. GMT-4","P03","3","2","4","2","5","1","3","2","3","1","4","5","5","5","1","2","2","1","4","3","2","1","2","1","1","1","2","4","4","5","Al principio me parecio molesto el jefe, pero una ves descubri el patron de atacar de cerca ya me fue mas facil- Habia que golpear 2 veces y esquivar","Lo que me demoro en curarme, pues quedaba vulnerable y si me alcanzaba un golpe se cancelaba la curacion","Si, pues si me encontraba lejos el jefe tenia un patron de ataque a distacia y se acercaba, en cambio si estaba cerca atacaba solo cuerpo a cuerpo ","Me parecio justo y una buena medida para la gente que evita pelear o se aleja mucho, pues dependiendo de como juegue el jugador el jefe actuara en consecuencia."
"2026/06/18 12:24:46 p. m. GMT-4","P09","4","1","3","1","3","1","4","2","5","2","5","5","5","5","1","1","1","2","2","2","2","1","1","1","1","1","3","4","4","4","Poco, me tomo tiempo poder entender que estaba reaccionando a mis acciones para poder contraatacarme, pero al momento de entender que reaccionaba antes de que yo atacara, podria cambiar mi estrategia y utilizar sus puntos debiles para atacar.","me gusto la utilizacion de la bola de fuego como ataque a distancia, permitia un juego fluido donde no es necesario esperar para generar daño en el enemigo. En el aspecto frustrante, no me parecio muy comodo utilizar el lock in de la camara.","si, me podia dar cuenta que al inicio del combate, estuve a una distancia mayor para revisar su patrón, pero al ver que ese era mi estilo de combate, utilizo un ataque que acorto la distancia y me castigo por depender de una sola estrategia en el combate, despues de eso, al incorporar multiples estrategias en el combate (atacar por la espalda, distancia, baitear) el combate se disfrutaba bastante","Me parecio justo, esto se debe a que, personalmente me parece razonable que el jefe sea un desafio, y que en lo que concierne al jefe en si, me parece bien que se adapte al jugador, la idea de los juegos souls like es que sean un desafio para el jugador, si uno se pudiera dar vuelta el juego con aprenderse el patron, no seria divertido, y si no es divertido, para que jugarlo, asi que me parecio justo y entretenido ver a un jefe dinamico en sus acciones."
"2026/06/18 2:32:45 p. m. GMT-4","P10","5","1","4","1","4","2","5","1","5","1","5","5","5","5","1","1","1","4","2","1","1","1","1","1","1","2","2","3","5","4","Me parecio un poco predecible el combate cuerpo a cuerpo que el patrón de ataque era facil de reconocer.","Era un poco frustrante la mecánica de fijar a un enemigo aunque uno desuésse acostumbra. Me pareció interesante como el combate de los enemigos se adapta al estilo de combate del jugador.","No senti que el jefe se adaptaba a mis acciones, el patron se volvia predecible y con mismo combo bastaba para vencer a todo el jefe.","Me pareció justo el combate cuerpo a cuerpo pero injusto el combate a distancia, ya que en este último los ataques del jefe no daban mucho espacio para canalizar el hechizo, además de que este hechizo no hace mucho daño y es limitado."
"2026/06/19 12:27:12 p. m. GMT-4","P01","4","2","2","1","3","1","4","3","2","2","5","4","5","4","1","3","2","1","5","4","4","2","3","2","1","2","4","3","4","5","poco predecible, me costo entender los timings y algunas animaciones eran muy similares","odio los proyectiles, en particular los que te siguen","si, generaba mas proyectiles cerca del final (dificil)","bastante justo, se fue haciendo más compllicado al final pero me dio el tiempo de aprender los ataques al inicio."
"2026/06/19 4:33:19 p. m. GMT-4","P05","1","1","3","1","3","2","3","3","4","1","2","4","3","4","2","1","1","1","2","2","1","1","1","1","1","1","1","1","2","1","Noté una variedad adecuada de movimientos, aunque sí algunos fueron muy telegrafiados.","Me frustró que el dodge no fuese fácil de usar debido al delay entre acciones (no poder rollear después de atacar, etc).","Noté que los movimientos cambiaron de principio a fin pero no lo conecté con aprendizaje de mis acciones.","La curva de aprendizaje de sus movimientos me pareció justa. Hubo un buen balance entre sorpresa y castigo. "
"2026/06/22 10:29:36 a. m. GMT-4","P11","4","1","3","1","4","1","4","1","3","1","5","5","5","5","1","1","1","1","4","2","3","1","1","1","1","1","4","4","4","4","No demasiado, es más o menos lo que esperaría al ver un enemigo con dicha apariencia, pero no al punto de resultar aburrido o predecible.","La mecánica de poder intercalar rápidamente entre ataques a corta y la larga distancia es bastante interesante, le da cierta velocidad al combate, por el contrario la función de hacer combos con los ataques resultaba un poco lenta por el contrario.","Sí, parecía cambiar el patrón de ataque en función de que tan lejos o cerca de él me mantenía, haciendo sus ataques un poco más oportunos y difíciles de esquivar.","No pareció realmente injusto, prometía ser desafiante y creo que la dificultad se ajustó bien a eso."
"2026/06/22 11:36:15 a. m. GMT-4","P12","3","1","3","1","4","2","4","2","4","2","4","3","4","4","1","1","1","1","3","3","3","1","1","1","1","1","3","3","3","3","Fue divertido el como fue agregando tipos de ataques a lo largo de la pelea","quiza lo mas interesante fue el buscar el momento indicado para hacer cada accion, para atacar, para curarme, para tirar un hechizo","Si senti que a lo largo de la pelea empezo a cambiar sus ataques","No encontre injusto su comportamiento, tenia bastantes momentos como para atecarlo"
"2026/06/22 12:44:22 p. m. GMT-4","P15","3","1","4","1","4","1","4","1","5","1","4","4","5","4","1","1","1","4","4","3","2","1","1","1","1","3","2","3","4","1","Me pareció bastante predecible, pero de buena manera ya que te ayuda a emplear los controles aprendidos. Además como jefe introductorio toma bastantes movimientos y tempos de otros jefes parecidos, pero con un toque único, rescatando las animaciones.","Me llamó la atención el nivel de rapidez que contaban ciertos enémigos, lo que le dio variedad, por ejemplo a mi se me hacen más fáciles aquellos lentos tipo tanque, mientras que los otros me costaron más. Tal vez falta pulir el hecho de que si uno rota alrededor del enémigo básico, este no te puede tocar, además de que algunas veces las bolas mágicas no me tocaban pese a que estaba frente al mago. En general está bien el sistema. facil de aprender en el bueno sentido, faltaría pulir las hitbox y si eso lo de que si te mueves de cierta forma no te pueden tocar.","No percibí un cambio, puede que sea por que yo juego de manera muy poco guiada, pero era capaz de comprender que si me acercaba mucho haría ataque de pinchos y si me alejaba lo suficiente hacía el rectángulo o el latigazo. Por lo que si respondía a mi posición, mas no a mi tipo de táctica.","Super justo, castigaba el uso de un mismo acercamiento, por ejemplo atacar de manera frenética ocasionaba ataques de area que no se podían esquivar si no se calmaba ese frenesí. Además era sencillo de esquivar si eras paciente, acorde a un jefe inicial y las variedad de ataques se relacionaba muy bien con su animación de ""carga"", por lo que te hacía comprender bien su patrón. Más alla de eso en lo personal lo haría mas rápido, o que en caso de tener vida más baja haga dos ataques sin pausa, para que agarre desprevenido."
"2026/06/22 1:16:03 p. m. GMT-4","P13","4","1","2","1","5","1","3","1","4","1","5","5","5","5","1","1","1","2","2","1","2","1","1","1","1","1","3","3","5","2","No tanto, pero se podía prevenir que tipo de ataque iba a hacer.","Que al hacer el combo uno queda expuesto. Me gustó el movimiento del personaje y los enemigos también eran entretenidos.","Si, si me acercaba trataba de hacer ataques de corta distancia y al alejarme utilizaba otros tipos de ataque.","Justo, porque no utilizaba ataques demasiado fuertes o muy impredecibles."
