"Marca temporal","Código de participante","¿Cuántas horas a la semana juegas videojuegos en general?","¿Hace cuánto tiempo juegas videojuegos de acción?","¿Cuántos juegos soulslike o similares has jugado? (Dark Souls, Elden Ring, Sekiro, Bloodborne, Lies of P, Hollow Knight, etc.)","Nivel de comodidad [Esquivar ataques cronometrando el momento justo]","Nivel de comodidad [Mantener o cerrar distancia de forma deliberada contra un enemigo]","Nivel de comodidad [Alternar entre ataques cuerpo a cuerpo y a distancia según la situación]","Formulario de consentimiento informado"
"2026/06/17 7:19:46 p. m. GMT-4","test","Más de 10 horas","4 a 6 años","3 o más terminados","5","5","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/18 11:01:01 a. m. GMT-4","P03","Más de 10 horas","Más de 6 años","1 o 2 terminados, o 3 o más jugados","5","3","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/18 11:57:33 a. m. GMT-4","P09","Más de 10 horas","Más de 6 años","1 o 2 terminados, o 3 o más jugados","4","5","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/18 2:06:20 p. m. GMT-4","P10","6 a 10 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","2","4","5","Sí, acepto voluntariamente participar en este estudio"
"2026/06/19 11:58:15 a. m. GMT-4","P01","6 a 10 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","3","4","3","Sí, acepto voluntariamente participar en este estudio"
"2026/06/19 4:04:50 p. m. GMT-4","P05","Más de 10 horas","Menos de 1 año","3 o más terminados","5","5","5","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 10:01:57 a. m. GMT-4","P11","Menos de 2 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","3","4","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 11:12:05 a. m. GMT-4","P12","6 a 10 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","3","4","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 12:07:25 p. m. GMT-4","P15","6 a 10 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","4","2","1","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 12:53:48 p. m. GMT-4","P13","6 a 10 horas","Más de 6 años","1 o 2, pero no los terminé","4","3","2","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 3:00:51 p. m. GMT-4","P23","2 a 5 horas","Más de 6 años","1 o 2 terminados, o 3 o más jugados","3","3","3","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 4:18:57 p. m. GMT-4","P24","Más de 10 horas","Más de 6 años","3 o más terminados","4","3","3","Sí, acepto voluntariamente participar en este estudio"
"2026/06/22 4:52:18 p. m. GMT-4","P16","6 a 10 horas","4 a 6 años","1 o 2, pero no los terminé","4","3","4","Sí, acepto voluntariamente participar en este estudio"
"2026/06/24 11:58:47 a. m. GMT-4","P14","Menos de 2 horas","4 a 6 años","1 o 2 terminados, o 3 o más jugados","3","4","4","Sí, acepto voluntariamente participar en este estudio"
"2026/06/24 12:32:08 p. m. GMT-4","P26","6 a 10 horas","Más de 6 años","1 o 2 terminados, o 3 o más jugados","5","5","5","Sí, acepto voluntariamente participar en este estudio"
"2026/06/24 1:13:54 p. m. GMT-4","P26-2","Menos de 2 horas","Más de 6 años","1 o 2 terminados, o 3 o más jugados","5","5","5","Sí, acepto voluntariamente participar en este estudio"
