codigo,tension,desafio,magnitud_precombate_real,magnitud_final_real,magnitud_atribuible_a_combate,reglas_precombate_ok,ataques_cambiados_durante_combate
P30,1.5,2.25,70.0,-65.0,-135.0,True,"BasicAttack, HeavyAttack, WhipAttack"
P19,1.0,2.0,75.0,-30.0,-105.0,True,"BasicAttack, AOEAttack, HeavyAttack, WhipAttack"
P12,1.0,2.5,55.0,-35.0,-90.0,True,"BasicAttack, AOEAttack, Poddle, WhipAttack"
P34,1.75,2.5,85.0,145.0,60.0,True,"BasicAttack, AOEAttack, HeavyAttack, Poddle, HomingAttack"
P41,1.0,2.5,45.0,-15.0,-60.0,True,"BasicAttack, AOEAttack, HeavyAttack"
P24,2.0,2.75,35.0,-25.0,-60.0,True,"BasicAttack, AOEAttack, Poddle, WhipAttack"
P11,1.0,2.5,75.0,15.0,-60.0,True,"BasicAttack, AOEAttack, HeavyAttack, WhipAttack, WallAttack"
P38,1.0,2.5,45.0,90.0,45.0,True,"BasicAttack, Poddle, HomingAttack"
P26-2,1.0,3.75,35.0,-10.0,-45.0,True,"BasicAttack, HeavyAttack, Poddle, WhipAttack, WallAttack"
P18,2.0,3.25,70.0,25.0,-45.0,True,"BasicAttack, HeavyAttack, Poddle, WhipAttack"
P16,1.5,3.0,80.0,50.0,-30.0,True,"BasicAttack, HeavyAttack, Poddle, WhipAttack"
P28,1.0,1.25,60.0,30.0,-30.0,True,"BasicAttack, AOEAttack"
P21,1.0,2.75,75.0,45.0,-30.0,True,"BasicAttack, WallAttack"
P23,3.25,3.25,10.0,-5.0,-15.0,True,"Poddle, WhipAttack, WallAttack"
P35,1.0,1.5,75.0,75.0,0.0,True,"WhipAttack, WallAttack"
