Variable,Mediana Control,Mediana Adaptativo,U,p,Significativo (p<.05),Efecto (rank-biserial),Tamano del efecto
SUS,80.0,77.5,112.0,1.0,no,0.0,insignificante
Afecto positivo,4.75,4.5,125.0,0.602,no,-0.11,pequeno
Afecto negativo,1.25,1.25,137.0,0.301,no,-0.22,pequeno
Desafio,2.25,2.5,96.5,0.517,no,0.14,pequeno
Tension,1.25,1.0,125.0,0.592,no,-0.11,pequeno
Inmersion,3.25,3.5,106.0,0.802,no,0.06,insignificante
Distancia al jefe,323.44,300.65,133.0,0.407,no,-0.18,pequeno
Ratio ataques melee,0.72,0.62,149.0,0.135,no,-0.32,mediano
Esquivas totales,38.0,32.0,144.0,0.198,no,-0.28,pequeno
Esquivas exitosas,3.0,2.0,132.0,0.422,no,-0.17,pequeno
Duracion combate,173.0,224.0,86.0,0.281,no,0.24,pequeno
